Capture Timestamp,T,P : Percent Cmd_DoPreempt,WO: Ops p 0/1/2/3,WL: SumLatency p 0/1/2/3,WM: MaxLatency p 0/1/2/3,RO: Ops p 0/1/2/3,RL: SumLatency p 0/1/2/3,RM: MaxLatency p 0/1/2/3,E: Band Erases,F: Host Flushes,HR: Host Reads,HW: Host Writes,NR: Nand Reads,NW: Nand Writes,NUR: Nand Util Reads,NUW: Nand Util Writes,CW: Clog Writes,IW: Ind Writes,GC: GC Writes,PR: Prefetch Reads,PH: Prefetch Hits,PN: Prefetch fetch next ranges,AW: Writes that were handled by autowrite HW,WCD: Write cache dirty percentage,WCFB: Write cache free buffers percentage,GLT: GC L-only us,W : Wear Level Bands,BI: BLKS(SLC),BU: BLKS(MLC/TLC),BL: BLKS LVL,TH: Time in Hysteresis (ms),S : Free Segs,QOS,V : IndMem Free,ML: IndMem Lvl (C)hoke (E)extreme (A)low (0)good,X : Expedite Ok/Fail,U : Host unmaps,C : Host tags(Min/Max),UT: Update Time(us),NU: Updates,ST: Search Time(us),GMT: GC Move Time(us),NS: Searches,MB: Cache/Ind MBUs,IMM: Time Spent in Immediate Cmd (us),EX: Extra senses in MSP may slow read perf,Ti: IndMem #free tilesDT: delta for +freeTile/-fre,DT,DL,DM,DU,PUM,MTH,GCS,WA,GCD,GM,UE,GB,RH,RI,RR,GCN,OBC,SAJ,MAJ,LAJ,STI,MTI,LTI,TAJ,TBJ,GBJ,GUI,GTD,DTB,ABM,FRQ,CPU,CYC,INST,L2M,L2A,SMF,SMC,SMD,BO,OS,OV,CBDR_PA,CBDR_RD,REWS,RFRS,ADFH,ADHF,VBWR,VBRR,CFDWC,CFDRC,DLWD,DLRD,UWDF,URDF,DPQBI,DPQBO,
2026-08-08 02:56:35.569,183900,0,0/0/0/0,0/0/0/0,0/0/0/0,7/6/12/0,4555/725/1871/0,1132/163/216/0,0,0,813,156,813,0,0,0,0,0,0,0,0,0,100,0,49,0,0,575,3425,0/0,0,7944,0,29448696,0,0/0,0,0/5,0,0,87,0,30,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,0,599,3,22826,17493,13,175,1,0,0/0,0,0,0,0,0,0,0,799,66,1,157,16,60,829,0,979,164,0,0,
,183999,0,0/0/0/0,0/0/0/0,0/0/0/0,5/116/18/0,3233/18981/9641/0,1115/2181/2254/0,0,0,765,397,765,768,0,0,0,0,0,0,0,0,100,0,50,0,0,575,3425,0/0,0,8124,0,29448656,0,0/0,16,0/5,1914,465,290,0,140,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,0,599,14,86019,69914,84,778,1,0,0/0,0,0,0,0,0,145,145,544,77,2,400,99,376,805,774,1411,1402,0,0,
,184098,0,0/0/0/0,0/0/0/0,0/0/0/0,66/14/15/0,12309/2788/3164/0,1170/620/468/0,0,0,935,326,935,200,0,0,8,3,0,0,0,0,100,0,50,0,0,575,3425,0/0,0,7997,0,29448664,0,0/0,10,0/5,727,104,302,0,98,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,0,599,8,52367,35229,69,573,1,0,0/0,0,0,0,0,0,48,48,574,138,1,328,63,286,961,201,1352,612,0,0,
,184197,0,0/0/0/0,0/0/0/0,0/0/0/0,7/8/61/0,3762/1153/10277/0,1123/234/337/0,0,0,1082,3,1082,0,0,0,0,0,0,0,0,0,100,0,50,0,0,575,3425,0/0,0,7994,0,29448664,0,0/0,0,0/5,0,0,221,0,81,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,0,599,3,23130,16283,13,297,1,0,0/0,0,0,0,0,0,0,0,774,3,0,3,17,48,1104,0,1097,13,0,0,
,184297,0,0/0/0/0,0/0/0/0,0/0/0/0,3/10/45/0,2013/1784/12193/0,750/491/1193/0,0,0,526,183,526,384,0,0,0,0,0,0,0,0,100,0,51,0,0,575,3425,0/0,0,8122,0,29448624,0,0/0,12,0/6,1291,282,163,0,59,20/13,0,0,29,1/1,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,1,599,13,83815,77492,64,459,1,0,0/0,0,0,0,0,0,193,96,306,90,1,184,121,301,547,387,1014,723,0,0,
,184402,0,4/0/0/0,5397/0/0/0,2098/0/0/0,20/7/8/0,8145/4821/2474/0,3231/1284/793/0,0,0,118,1163,118,1056,0,0,0,0,0,0,0,0,11,0,49,0,0,575,3425,0/0,0,8121,0,29448632,0,0/0,21,0/6,469,60,151,0,35,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,1,599,2,17556,9321,42,256,1,0,0/0,0,0,0,0,0,120,217,50,1036,0,1044,16,171,77,870,1301,2234,0,0,
,184501,0,0/0/0/0,0/0/0/0,0/0/0/0,93/24/7/0,13865/2443/1141/0,230/172/201/0,0,0,420,16,420,0,0,0,0,0,0,0,0,0,100,0,49,0,0,575,3425,0/0,0,8113,0,29448632,0,0/0,0,0/3,0,0,456,0,125,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,1,599,5,31846,21367,18,556,1,0,0/0,0,0,0,0,0,0,0,389,16,0,16,15,68,443,0,455,20,0,0,
,184601,0,0/0/0/0,0/0/0/0,0/0/0/0,77/9/30/0,13720/1239/5955/0,1104/235/1378/0,0,0,523,256,523,392,0,0,8,3,0,0,0,0,100,0,49,0,0,575,3425,0/0,0,8018,0,29448616,0,0/0,9,0/3,711,105,399,0,120,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,0,599,8,53899,36395,57,710,1,0,0/0,0,0,0,0,0,96,96,436,101,1,258,56,255,548,395,944,805,0,0,
,184700,0,0/0/0/0,0/0/0/0,0/0/0/0,70/1/12/0,12631/150/1807/0,474/150/199/0,0,0,841,0,841,0,0,0,0,0,0,0,0,0,0,0,49,0,0,575,3425,0/0,0,8018,0,29448616,0,0/0,0,0/3,0,0,238,0,86,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,1,599,4,24195,16542,12,377,1,0,0/0,0,0,0,0,0,0,0,832,0,0,0,14,43,864,0,856,7,0,0,
,184800,0,0/0/0/0,0/0/0/0,0/0/0/0,38/3/24/0,18795/419/3519/0,2055/161/193/0,0,0,1621,146,1621,0,0,0,0,0,0,0,0,0,100,1,48,0,0,575,3425,0/0,0,7892,0,29448616,0,0/0,0,0/9,0,0,186,0,71,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,0,599,4,28705,21179,14,324,1,0,0/0,0,0,0,0,0,0,0,1579,64,0,147,21,64,1652,0,1785,161,0,0,
,184900,0,0/0/0/0,0/0/0/0,0/0/0/0,14/4/38/0,3966/628/12253/0,701/161/1292/0,0,0,1027,156,1027,384,0,0,0,0,0,0,0,0,100,0,50,0,0,575,3425,0/0,0,8048,0,29448552,0,0/0,0,0/9,1290,285,215,0,65,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,0,599,8,52278,40732,63,432,1,0,0/0,0,0,0,0,0,153,133,988,59,13,181,67,274,1056,387,1442,755,0,0,
,184999,0,0/0/0/0,0/0/0/0,0/0/0/0,30/1/29/0,9287/162/15670/0,1066/162/2521/0,0,0,1021,89,1021,192,0,0,0,0,0,0,0,0,100,0,50,0,0,575,3425,0/0,0,8121,0,29448504,0,0/0,32,0/9,757,138,196,0,61,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,1,599,6,41178,27334,66,420,1,0,0/0,0,0,0,0,0,96,96,862,28,24,138,61,269,1062,193,1310,438,0,0,
,185098,0,0/0/0/0,0/0/0/0,0/0/0/0,61/5/44/0,11057/765/6796/0,428/164/282/0,0,0,1151,81,1151,0,0,0,0,0,0,0,0,0,100,0,49,0,0,575,3425,0/0,0,8061,0,29448504,0,0/0,0,0/9,0,0,247,0,112,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,0,599,5,32566,22752,16,468,1,0,0/0,0,0,0,0,0,0,0,782,25,0,81,24,71,1161,0,1232,92,0,0,
,185197,0,0/0/0/0,0/0/0/0,0/0/0/0,90/26/46/0,15157/3528/8065/0,830/187/446/0,0,0,1437,37,1437,0,0,0,0,0,0,0,0,0,100,0,49,0,0,575,3425,0/0,0,8055,0,29448504,0,0/0,0,0/9,0,0,494,0,167,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,1,599,6,38915,27683,13,644,1,0,0/0,0,0,0,0,0,0,0,921,37,0,37,23,64,1474,0,1498,50,0,0,
,185297,0,0/0/0/0,0/0/0/0,0/0/0/0,60/49/26/0,18467/12931/13935/0,2779/1427/2223/0,0,0,903,1934,903,1936,0,0,16,6,0,0,0,0,100,0,49,0,0,575,3425,0/0,0,7977,0,29448192,0,0/0,23,0/9,5150,720,552,0,139,20/13,0,0,29,0/1,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,1,599,29,174598,133746,220,1504,1,0,0/0,0,0,0,0,0,524,471,752,1240,67,2070,232,962,955,1951,3732,4615,0,0,
,185396,0,0/0/0/0,0/0/0/0,0/0/0/0,83/4/80/0,29081/1140/21753/0,3756/827/2073/0,0,0,1079,1675,1079,1736,0,0,8,3,0,0,0,0,100,0,49,0,0,575,3425,0/0,0,8120,0,29448160,0,0/0,81,0/9,2464,643,589,0,171,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,1,599,21,130821,102914,146,1213,1,0,0/0,0,0,0,0,0,435,217,1062,1170,3,1688,164,633,1132,1749,3454,3772,0,0,
,185496,0,0/0/0/0,0/0/0/0,0/0/0/0,39/13/28/0,11438/1941/8497/0,905/197/1450/0,0,0,1063,247,1063,384,0,0,0,0,0,0,0,0,100,0,50,0,0,575,3425,0/0,0,8109,0,29448144,0,0/0,9,0/4,913,188,264,0,86,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,0,599,9,57856,42575,62,547,1,0,0/0,0,0,0,0,0,96,96,990,77,1,248,66,265,1093,387,1475,792,0,0,
,185595,0,0/0/0/0,0/0/0/0,0/0/0/0,49/244/14/0,6396/31397/2353/0,412/599/295/0,0,0,1737,1,1737,0,0,0,0,0,0,0,0,0,100,0,50,0,0,575,3425,0/0,0,8108,0,29448144,0,0/0,0,0/4,0,0,910,0,311,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,1,599,10,64642,46782,21,1080,1,0,0/0,0,0,0,0,0,0,0,1629,1,0,1,40,100,1785,0,1768,18,0,0,
,185694,0,0/0/0/0,0/0/0/0,0/0/0/0,39/27/17/0,9825/2455/2270/0,905/127/189/0,0,0,1051,168,1051,0,0,0,0,0,0,0,0,0,100,1,49,0,0,575,3425,0/0,0,7967,0,29448144,0,0/0,0,0/4,0,0,227,0,87,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,1,599,5,31081,22957,16,351,1,0,0/0,0,0,0,0,0,0,0,1024,81,1,169,22,70,1074,0,1234,178,0,0,
,185794,0,0/0/0/0,0/0/0/0,0/0/0/0,112/9/45/0,27369/2743/19488/0,1573/1486/1616/0,0,0,841,330,841,1160,0,0,8,3,0,0,0,0,100,0,50,0,0,575,3425,0/0,0,8082,0,29448032,0,0/0,0,0/5,1854,367,581,0,169,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,1,599,16,99167,75289,107,1113,1,0,0/0,0,0,0,0,0,642,725,636,107,99,526,130,470,886,1169,2264,2601,0,0,
,185893,0,0/0/0/0,0/0/0/0,0/0/0/0,95/9/24/0,16935/1080/3065/0,1055/196/196/0,0,0,923,111,923,96,0,0,0,0,0,0,0,0,100,0,49,0,0,575,3425,0/0,0,8036,0,29448032,0,0/0,7,0/5,195,39,396,0,129,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,0,599,7,42079,28523,35,632,1,0,0/0,0,0,0,0,0,10,24,876,39,0,111,40,145,954,96,1072,253,0,0,
