#,priority,priority_name,fds,footprint,footprint_peak,dirty,PE,frozen,docked,swappable,coalition_id,pid,name,flags,total_dirty_time,process_lifetime,percent_dirty
0,0,(Idle),3,1857,1905,N,Y,-,N,-,132,96,peakpowermanagerd,(---),0,183,0.00
1,0,(Idle),3,3473,3585,N,Y,-,N,-,16,38,peopled,(---),0,183,0.00
2,0,(Idle),3,2225,2273,N,Y,-,N,-,126,93,OTACrashCopier,(---),0,183,0.00
3,0,(Idle),3,1985,2049,N,Y,-,N,-,86,153,AppleDeviceQueryService,(---),0,181,0.00
4,0,(Idle),3,2545,2577,N,Y,-,N,-,86,114,ACCHWComponentAuthService,(---),0,182,0.41
5,0,(Idle),4,1377,1473,N,Y,-,N,-,238,152,pfd,(---),0,182,0.33
6,0,(Idle),3,1521,1569,N,Y,-,N,-,192,127,apfs_iosd,(---),0,182,0.51
7,0,(Idle),3,2401,2417,N,Y,-,N,-,64,218,SetStoreUpdateService,(---),0,179,0.01
8,0,(Idle),3,3345,3345,N,Y,-,N,-,358,220,corerepaird,(---),1,179,1.07
9,0,(Idle),3,2321,2401,N,Y,-,N,-,272,173,budd,(---),0,180,0.00
10,0,(Idle),3,2273,2321,N,Y,-,N,-,425,261,com.apple.MobileInstallationHelperService,(---),0,173,0.03
11,0,(Idle),3,2337,2481,N,Y,-,N,-,409,253,clipserviced,(---),1,174,0.77
12,0,(Idle),3,2945,2977,N,Y,-,N,-,496,302,AppSSODaemon,(---),0,168,0.00
13,0,(Idle),6,3985,4017,N,Y,-,N,-,74,67,remotepairingdeviced,(---),4,183,2.39
14,0,(Idle),3,2977,3105,N,Y,-,N,-,526,321,frauddefensed,(---),0,166,0.03
15,0,(Idle),3,3441,3457,-,-,-,N,-,26,327,SiriAUSP,(---),0,164,0.00
16,0,(Idle),3,3361,3377,-,-,-,N,-,26,334,MauiAUSP,(---),0,164,0.00
17,0,(Idle),3,3473,3489,-,-,-,N,-,26,336,MacinTalkAUSP,(---),0,164,0.00
18,0,(Idle),3,3745,4081,-,-,-,N,-,26,330,KonaSynthesizer,(---),0,164,0.00
19,0,(Idle),12,3489,3585,N,Y,-,N,-,411,254,textunderstandingd,(---),7,174,4.17
20,0,(Idle),3,2097,2097,N,Y,-,N,-,504,308,GSSCred,(---),5,168,3.18
21,0,(Idle),3,6097,6097,-,-,-,N,-,170,346,BatteriesAvocadoWidgetExtension,(---),0,162,0.00
22,0,(Idle),3,8961,8961,-,-,-,N,-,170,280,CalendarWidgetExtension,(---),0,172,0.00
23,0,(Idle),3,3025,3025,N,Y,-,N,-,112,86,driverkitd,(---),0,183,0.28
24,0,(Idle),7,11217,11217,-,-,-,N,-,302,188,PosterBoard,(---),0,180,0.00
25,0,(Idle),9,3649,3649,-,-,-,N,-,508,358,AMDEngagementExtension,(---),0,158,0.00
26,0,(Idle),15,13185,13185,-,-,-,N,-,170,278,WeatherWidget,(---),0,172,0.00
27,0,(Idle),3,2001,2017,N,Y,-,N,-,401,360,AppleDeviceQueryService,(---),0,157,0.26
28,0,(Idle),15,1873,1873,N,Y,-,N,-,385,238,cryptexd,(---),0,177,0.18
29,0,(Idle),3,2529,2657,N,Y,-,N,-,576,364,backgroundassets.user,(---),0,156,0.01
30,0,(Idle),3,2561,2593,N,Y,-,N,-,316,223,SetStoreUpdateService,(---),24,179,13.72
31,0,(Idle),3,2513,2689,N,Y,-,N,-,72,370,IDSBlastDoorService,(---),0,153,0.04
32,0,(Idle),4,3825,4401,N,Y,-,N,-,474,341,localspeechrecognition,(---),1,163,0.85
33,0,(Idle),3,3121,3201,N,Y,-,N,-,619,392,fitnessintelligenced,(---),0,151,0.00
34,0,(Idle),3,17345,29105,N,Y,-,N,-,627,402,MTLCompilerService,(---),0,146,0.51
35,0,(Idle),4,11201,14897,-,-,-,N,-,170,281,GeneralMapsWidget,(---),0,172,0.00
36,0,(Idle),3,2545,2737,N,Y,-,N,-,34,388,SetStoreUpdateService,(---),1,151,1.02
37,0,(Idle),3,2721,2737,N,Y,-,N,-,82,133,CoreRepairCoreXPCService,(---),0,182,0.02
38,0,(Idle),3,4465,4481,-,-,-,N,-,375,231,ReplayKitAngel,(---),0,179,0.00
39,0,(Idle),3,2993,2993,N,Y,-,N,-,216,169,CoreRepairCoreXPCService,(---),0,181,0.40
40,0,(Idle),3,2321,2337,N,Y,-,N,-,358,230,AppleDeviceQueryService,(---),0,179,0.26
41,0,(Idle),3,2769,2849,N,Y,-,N,-,580,396,SeymourAssetService,(---),0,148,0.09
42,0,(Idle),8,3089,3201,N,Y,-,N,-,482,293,findmybeaconingd,(---),2,169,1.26
43,0,(Idle),3,1649,1777,N,Y,-,N,-,38,437,UARPUpdaterServiceAFU,(---),0,136,0.00
44,0,(Idle),3,1937,2049,N,Y,-,N,-,38,438,UARPUpdaterServiceHID,(---),0,136,0.00
45,0,(Idle),3,2065,2177,N,Y,-,N,-,38,435,UARPUpdaterServiceUSBPD,(---),0,136,0.02
46,0,(Idle),3,12097,49665,N,Y,-,N,-,12,242,MTLCompilerService,(---),3,176,1.77
47,0,(Idle),3,2321,2353,N,Y,-,N,-,70,167,NFStorageServer,(---),0,181,0.23
48,0,(Idle),3,2385,2481,N,Y,-,N,-,12,197,AudioConverterService,(---),0,180,0.01
49,0,(Idle),3,2657,2961,N,Y,-,N,-,391,430,SetStoreUpdateService,(---),1,139,1.31
50,0,(Idle),3,2801,2961,N,Y,-,N,-,548,340,captiveagent,(---),0,164,0.38
51,0,(Idle),3,2913,2945,N,Y,-,N,-,690,447,caraccessoryd,(---),0,131,0.00
52,0,(Idle),3,2225,2465,N,Y,-,N,-,298,453,intents_helper,(---),0,130,0.06
53,0,(Idle),3,2513,2561,N,Y,-,N,-,682,439,siriappintentsd,(---),8,134,6.69
54,0,(Idle),3,2689,2945,N,Y,-,N,-,18,441,SetStoreUpdateService,(---),1,133,0.98
55,0,(Idle),6,3777,3873,N,Y,-,N,-,334,207,deviceaccessd,(---),1,180,1.03
56,0,(Idle),3,2305,2385,N,Y,-,N,-,607,385,watchpresenced,(---),0,152,0.03
57,0,(Idle),3,3841,3841,-,-,-,N,-,170,462,InCallActivitiesExtension,(---),0,126,0.00
58,0,(Idle),3,12257,12257,-,-,-,N,-,298,452,ShortcutsTopHitsExtension,(---),0,130,0.00
59,0,(Idle),3,2321,2401,N,Y,-,N,-,338,471,AppPredictionIntentsHelperService,(---),1,122,1.14
60,0,(Idle),8,2945,2993,N,Y,-,N,-,22,249,AppIntentsLiveEntityService,(---),3,175,1.96
61,0,(Idle),3,3361,3457,N,Y,-,N,-,22,353,com.apple.SharePlay.NearbyInvitationsService,(---),1,160,1.14
62,0,(Idle),3,2193,2497,N,Y,-,N,-,401,359,ACCHWComponentAuthService,(---),4,158,2.55
63,0,(Idle),3,1569,1601,N,Y,-,N,-,588,372,OTATaskingAgent,(---),0,153,0.04
64,0,(Idle),3,2801,2817,N,Y,-,N,-,593,377,mobile_installation_proxy,(---),1,153,0.71
65,0,(Idle),3,2545,2625,N,Y,-,N,-,530,475,SetStoreUpdateService,(---),5,119,5.00
66,0,(Idle),4,4593,4737,N,Y,-,N,-,684,442,assistant_service,(---),0,132,0.66
67,0,(Idle),3,2497,2593,N,Y,-,N,-,595,379,IMTransferAgent,(---),0,153,0.06
68,0,(Idle),3,2449,2545,N,Y,-,N,-,38,436,UARPUpdaterServiceLegacyAudio,(---),0,136,0.01
69,0,(Idle),4,3745,3841,N,Y,-,N,-,228,355,localspeechrecognition,(---),9,159,5.97
70,0,(Idle),3,5905,6449,-,-,-,N,-,737,485,PassbookUIService,(---),0,107,0.00
71,0,(Idle),3,3185,8193,N,Y,-,N,-,58,59,amfid,(---),3,183,2.17
72,0,(Idle),3,3457,3553,N,Y,-,N,-,228,440,MessagesBlastDoorService,(---),27,134,20.45
73,0,(Idle),3,2769,2993,N,Y,-,N,-,488,298,softposreaderd,(---),12,169,7.48
74,0,(Idle),3,2785,3041,N,Y,-,N,-,457,277,appleidsetupd,(---),12,172,6.95
75,0,(Idle),4,3713,3825,N,Y,-,N,-,520,317,communicationtrustd,(---),3,166,2.23
76,0,(Idle),3,3393,3569,N,Y,-,N,-,621,393,analyticsagent,(---),2,151,1.94
77,0,(Idle),3,2865,2977,N,Y,-,N,-,580,423,SeymourAppStoreService,(---),0,141,0.03
78,0,(Idle),10,4481,4481,N,Y,-,N,-,742,495,symptomsd-distributed,(---),5,104,5.15
79,0,(Idle),3,2417,2497,N,Y,-,N,-,603,383,pipelined,(---),0,152,0.00
80,0,(Idle),6,19729,24817,-,-,-,N,-,705,459,InCallService,(---),0,127,0.00
81,0,(Idle),6,1841,2193,N,Y,-,N,-,468,284,misagent,(---),0,171,0.03
82,0,(Idle),8,3361,3393,N,Y,-,N,-,466,449,AppIntentsLiveEntityService,(---),0,131,0.02
83,0,(Idle),14,4417,5041,N,Y,-,N,-,666,426,postersyncd,(---),9,140,6.84
84,0,(Idle),3,2529,2529,N,Y,-,N,-,705,464,AudioConverterService,(---),0,126,0.02
85,0,(Idle),3,3633,3665,N,Y,-,N,-,32,46,terminusd,(---),3,183,2.18
86,0,(Idle),6,2833,2865,N,Y,-,N,-,134,473,AppIntentsLiveEntityService,(---),0,120,0.05
87,0,(Idle),8,4497,4593,N,Y,-,N,-,557,347,translationd,(---),42,161,26.17
88,0,(Idle),3,2529,2545,N,Y,-,N,-,30,476,UARPAssetManagerServiceMobileAsset,(---),0,119,0.02
89,0,(Idle),3,4577,4769,-,-,-,N,-,336,448,PrivateMLClientInferenceProviderService,(---),0,131,0.00
90,0,(Idle),7,2385,2401,N,Y,-,N,-,836,593,revisiond,(---),0,89,0.09
91,0,(Idle),3,2337,2369,N,Y,-,N,-,30,45,uarpassetmanagerd,(---),5,183,3.10
92,0,(Idle),3,4529,4737,N,Y,-,N,-,360,221,com.apple.NeighborhoodActivityConduitService,(---),4,179,2.55
93,0,(Idle),4,3761,3985,N,Y,-,N,-,474,287,vmd,(---),1,170,0.80
94,0,(Idle),4,3217,3217,-,-,-,N,-,472,497,PhotosFileProvider,(---),0,101,0.00
95,0,(Idle),3,3137,3137,-,-,-,N,-,472,478,PhotosFileProvider,(---),0,113,0.00
96,0,(Idle),4,3153,3249,-,-,-,N,-,472,376,PhotosFileProvider,(---),0,153,0.00
97,0,(Idle),71,116001,136161,-,-,-,N,-,740,494,GLEGram,(---),0,105,0.00
98,0,(Idle),3,4513,4513,N,Y,-,N,-,735,482,avconferenced,(---),3,110,3.11
99,0,(Idle),15,4721,4865,N,Y,-,N,-,433,265,voicebankingd,(---),5,172,3.07
100,0,(Idle),6,7057,7313,N,Y,-,N,-,26,43,axassetsd,(---),18,183,9.91
101,0,(Idle),3,3345,3473,N,Y,-,N,-,709,461,gamecontrollerd,(---),0,126,0.01
102,0,(Idle),6,4161,4545,N,Y,-,N,-,586,371,wifianalyticsd,(---),40,154,26.35
103,0,(Idle),5,5169,6401,N,Y,-,N,-,668,427,mediaplaybackd,(---),59,140,42.65
104,0,(Idle),3,2401,2401,N,Y,-,N,-,735,483,AudioConverterService,(---),0,109,0.02
105,0,(Idle),3,2353,2353,N,Y,-,N,-,735,484,AudioConverterHardenedService,(---),0,109,0.02
106,0,(Idle),4,3297,3441,N,Y,-,N,-,427,262,installd,(---),52,173,29.98
107,0,(Idle),6,3489,3585,N,Y,-,N,-,500,306,recentsd,(---),32,168,18.98
