    #  priority             fds  footprint  footprint_peak  dirty  PE  frozen  docked  swappable  coalition_id  pid  name                                                      flags  total_dirty_time  process_lifetime  percent_dirty
    0    0 (Idle)             3     1857KB          1905KB    N     Y     -       N        -               132   96  peakpowermanagerd                                                              0s              183s          0.00%
    1    0 (Idle)             3     3473KB          3585KB    N     Y     -       N        -                16   38  peopled                                                                        0s              183s          0.00%
    2    0 (Idle)             3     2225KB          2273KB    N     Y     -       N        -               126   93  OTACrashCopier                                                                 0s              183s          0.00%
    3    0 (Idle)             3     1985KB          2049KB    N     Y     -       N        -                86  153  AppleDeviceQueryService                                                        0s              181s          0.00%
    4    0 (Idle)             3     2545KB          2577KB    N     Y     -       N        -                86  114  ACCHWComponentAuthService                                                      0s              182s          0.41%
    5    0 (Idle)             4     1377KB          1473KB    N     Y     -       N        -               238  152  pfd                                                                            0s              182s          0.33%
    6    0 (Idle)             3     1521KB          1569KB    N     Y     -       N        -               192  127  apfs_iosd                                                                      0s              182s          0.51%
    7    0 (Idle)             3     2401KB          2417KB    N     Y     -       N        -                64  218  SetStoreUpdateService                                                          0s              179s          0.01%
    8    0 (Idle)             3     3345KB          3345KB    N     Y     -       N        -               358  220  corerepaird                                                                    1s              179s          1.07%
    9    0 (Idle)             3     2321KB          2401KB    N     Y     -       N        -               272  173  budd                                                                           0s              180s          0.00%
   10    0 (Idle)             3     2273KB          2321KB    N     Y     -       N        -               425  261  com.apple.MobileInstallationHelperService                                      0s              173s          0.03%
   11    0 (Idle)             3     2337KB          2481KB    N     Y     -       N        -               409  253  clipserviced                                                                   1s              174s          0.77%
   12    0 (Idle)             3     2945KB          2977KB    N     Y     -       N        -               496  302  AppSSODaemon                                                                   0s              168s          0.00%
   13    0 (Idle)             6     3985KB          4017KB    N     Y     -       N        -                74   67  remotepairingdeviced                                                           4s              183s          2.39%
   14    0 (Idle)             3     2977KB          3105KB    N     Y     -       N        -               526  321  frauddefensed                                                                  0s              166s          0.03%
   15    0 (Idle)             3     3441KB          3457KB    -     -     -       N        -                26  327  SiriAUSP                                                                       0s              164s          0.00%
   16    0 (Idle)             3     3361KB          3377KB    -     -     -       N        -                26  334  MauiAUSP                                                                       0s              164s          0.00%
   17    0 (Idle)             3     3473KB          3489KB    -     -     -       N        -                26  336  MacinTalkAUSP                                                                  0s              164s          0.00%
   18    0 (Idle)             3     3745KB          4081KB    -     -     -       N        -                26  330  KonaSynthesizer                                                                0s              164s          0.00%
   19    0 (Idle)            12     3489KB          3585KB    N     Y     -       N        -               411  254  textunderstandingd                                                             7s              174s          4.17%
   20    0 (Idle)             3     2097KB          2097KB    N     Y     -       N        -               504  308  GSSCred                                                                        5s              168s          3.18%
   21    0 (Idle)             3     6097KB          6097KB    -     -     -       N        -               170  346  BatteriesAvocadoWidgetExtension                                                0s              162s          0.00%
   22    0 (Idle)             3     8961KB          8961KB    -     -     -       N        -               170  280  CalendarWidgetExtension                                                        0s              172s          0.00%
   23    0 (Idle)             3     3025KB          3025KB    N     Y     -       N        -               112   86  driverkitd                                                                     0s              183s          0.28%
   24    0 (Idle)             7    11217KB         11217KB    -     -     -       N        -               302  188  PosterBoard                                                                    0s              180s          0.00%
   25    0 (Idle)             9     3649KB          3649KB    -     -     -       N        -               508  358  AMDEngagementExtension                                                         0s              158s          0.00%
   26    0 (Idle)            15    13185KB         13185KB    -     -     -       N        -               170  278  WeatherWidget                                                                  0s              172s          0.00%
   27    0 (Idle)             3     2001KB          2017KB    N     Y     -       N        -               401  360  AppleDeviceQueryService                                                        0s              157s          0.26%
   28    0 (Idle)            15     1873KB          1873KB    N     Y     -       N        -               385  238  cryptexd                                                                       0s              177s          0.18%
   29    0 (Idle)             3     2529KB          2657KB    N     Y     -       N        -               576  364  backgroundassets.user                                                          0s              156s          0.01%
   30    0 (Idle)             3     2561KB          2593KB    N     Y     -       N        -               316  223  SetStoreUpdateService                                                         24s              179s         13.72%
   31    0 (Idle)             3     2513KB          2689KB    N     Y     -       N        -                72  370  IDSBlastDoorService                                                            0s              153s          0.04%
   32    0 (Idle)             4     3825KB          4401KB    N     Y     -       N        -               474  341  localspeechrecognition                                                         1s              163s          0.85%
   33    0 (Idle)             3     3121KB          3201KB    N     Y     -       N        -               619  392  fitnessintelligenced                                                           0s              151s          0.00%
   34    0 (Idle)             3    17345KB         29105KB    N     Y     -       N        -               627  402  MTLCompilerService                                                             0s              146s          0.51%
   35    0 (Idle)             4    11201KB         14897KB    -     -     -       N        -               170  281  GeneralMapsWidget                                                              0s              172s          0.00%
   36    0 (Idle)             3     2545KB          2737KB    N     Y     -       N        -                34  388  SetStoreUpdateService                                                          1s              151s          1.02%
   37    0 (Idle)             3     2721KB          2737KB    N     Y     -       N        -                82  133  CoreRepairCoreXPCService                                                       0s              182s          0.02%
   38    0 (Idle)             3     4465KB          4481KB    -     -     -       N        -               375  231  ReplayKitAngel                                                                 0s              179s          0.00%
   39    0 (Idle)             3     2993KB          2993KB    N     Y     -       N        -               216  169  CoreRepairCoreXPCService                                                       0s              181s          0.40%
   40    0 (Idle)             3     2321KB          2337KB    N     Y     -       N        -               358  230  AppleDeviceQueryService                                                        0s              179s          0.26%
   41    0 (Idle)             3     2769KB          2849KB    N     Y     -       N        -               580  396  SeymourAssetService                                                            0s              148s          0.09%
   42    0 (Idle)             8     3089KB          3201KB    N     Y     -       N        -               482  293  findmybeaconingd                                                               2s              169s          1.26%
   43    0 (Idle)             3     1649KB          1777KB    N     Y     -       N        -                38  437  UARPUpdaterServiceAFU                                                          0s              136s          0.00%
   44    0 (Idle)             3     1937KB          2049KB    N     Y     -       N        -                38  438  UARPUpdaterServiceHID                                                          0s              136s          0.00%
   45    0 (Idle)             3     2065KB          2177KB    N     Y     -       N        -                38  435  UARPUpdaterServiceUSBPD                                                        0s              136s          0.02%
   46    0 (Idle)             3    12097KB         49665KB    N     Y     -       N        -                12  242  MTLCompilerService                                                             3s              176s          1.77%
   47    0 (Idle)             3     2321KB          2353KB    N     Y     -       N        -                70  167  NFStorageServer                                                                0s              181s          0.23%
   48    0 (Idle)             3     2385KB          2481KB    N     Y     -       N        -                12  197  AudioConverterService                                                          0s              180s          0.01%
   49    0 (Idle)             3     2657KB          2961KB    N     Y     -       N        -               391  430  SetStoreUpdateService                                                          1s              139s          1.31%
   50    0 (Idle)             3     2801KB          2961KB    N     Y     -       N        -               548  340  captiveagent                                                                   0s              164s          0.38%
   51    0 (Idle)             3     2913KB          2945KB    N     Y     -       N        -               690  447  caraccessoryd                                                                  0s              131s          0.00%
   52    0 (Idle)             3     2225KB          2465KB    N     Y     -       N        -               298  453  intents_helper                                                                 0s              130s          0.06%
   53    0 (Idle)             3     2513KB          2561KB    N     Y     -       N        -               682  439  siriappintentsd                                                                8s              134s          6.69%
   54    0 (Idle)             3     2689KB          2945KB    N     Y     -       N        -                18  441  SetStoreUpdateService                                                          1s              133s          0.98%
   55    0 (Idle)             6     3777KB          3873KB    N     Y     -       N        -               334  207  deviceaccessd                                                                  1s              180s          1.03%
   56    0 (Idle)             3     2305KB          2385KB    N     Y     -       N        -               607  385  watchpresenced                                                                 0s              152s          0.03%
