TimeStamp,PresentDOD0,CurrentCapacity,IsCharging,Temperature,Amperage,InstantAmperage,Voltage,StateOfCharge,ChargeAccum,ResScale,RSS,ITMiscStatus,AccumulatedSystemLoad,AccumulatedSystemPowerIn,VirtualTemperature,SystemVoltageIn,SystemCurrentIn,Watts
2026-07-26 06:40:35,7794,54,1,3929,1896,1904,4039,56,-3824,1000,61,33792,30622,114991,3900,4409,2092,15
2026-07-26 06:45:34,7530,57,1,3909,906,913,4007,58,-3893,1000,66,33792,1523193,2611490,3850,4547,1608,15
2026-07-26 06:50:35,7181,60,1,3909,1058,1230,4050,60,-3985,1000,86,33792,2658783,5078636,3819,4484,1848,15
2026-07-26 06:55:35,6758,62,1,4059,2355,2379,4146,63,-4096,1000,92,33792,633027,1494273,3769,4681,2698,15
2026-07-26 07:00:35,5897,69,1,4179,2571,2550,4215,69,-4323,1000,71,33792,1343908,5631181,3859,4648,2877,15
2026-07-26 07:05:35,5516,72,1,3839,2553,2568,4233,71,-4423,1000,74,33792,2035492,7856555,3709,4710,2620,15
2026-07-26 07:10:35,4778,77,1,4019,2279,2261,4293,76,-4618,1000,73,33792,2839586,11649231,3750,4701,2624,15
2026-07-26 07:15:35,4336,80,0,3689,0,2,4203,79,-4734,1000,79,33792,3513221,14140009,3700,5254,279,15
2026-07-26 07:20:35,3969,82,1,3759,1499,1504,4320,82,-4831,1000,83,33792,4121724,16248102,3629,4925,1689,15
2026-07-26 07:25:35,3526,85,1,3709,1500,1503,4360,85,-4948,1000,84,33792,4630187,18581210,3579,4911,1753,15
2026-07-26 07:30:35,3243,87,1,3650,1497,1503,4382,87,-5022,1000,86,33794,5211458,20342860,3519,4970,1497,15
2026-07-26 07:35:35,2804,90,1,3650,1362,1368,4413,90,-5138,1000,87,33794,5873858,22837066,3539,4969,1493,15
2026-07-26 07:40:35,2442,93,1,3519,975,985,4417,92,-5233,1000,90,33794,6515643,24993636,3459,5023,1273,15
2026-07-26 07:45:35,2170,94,1,3519,736,741,4418,94,-5305,1000,89,33794,7225162,26846662,3479,5117,860,15
2026-07-26 07:50:35,1979,96,1,3529,586,589,4418,95,-5355,1000,79,33794,7915416,28336818,3500,5116,878,15
2026-07-26 07:55:35,1814,97,1,3569,463,467,4417,96,-5398,1000,72,33794,8654428,29766346,3539,5141,739,15
2026-07-26 08:00:35,1689,98,1,3600,393,397,4418,97,-5431,1000,67,33794,9505890,31145091,3579,5187,533,15
2026-07-26 08:25:35,2456,97,0,3479,-2235,-2759,4187,92,-5229,929,90,33795,13130412,31643870,3479,0,0,0
2026-07-26 08:30:36,2656,96,0,3569,-1362,-909,4240,91,-5177,790,89,33794,13942443,31643870,3539,0,0,0
2026-07-26 08:35:35,2987,93,0,3759,-634,-661,4237,88,-5090,1060,83,33792,15261021,31643870,3759,0,0,0
2026-07-26 08:40:35,3220,91,0,3769,-119,-104,4250,87,-5028,948,81,33793,16185327,31643870,3779,0,0,0
2026-07-26 08:45:35,3397,90,0,3679,-544,-468,4219,86,-4982,911,84,33794,16901408,31643870,3689,0,0,0
2026-07-26 08:55:35,3608,89,0,3139,-449,-427,4198,85,-4926,994,101,33793,17737890,31643870,3139,0,0,0
2026-07-26 09:00:35,3952,86,0,3500,-1038,-1033,4127,82,-4835,920,89,33793,19080270,31643870,3459,0,0,0
2026-07-26 09:05:35,4300,84,0,3709,-1310,-1036,4107,79,-4744,950,80,33794,20436702,31643870,3679,0,0,0
2026-07-26 09:10:35,4666,81,0,3900,-857,-861,4093,77,-4647,986,75,33792,21854060,31643870,3879,0,0,0
2026-07-26 09:15:35,4844,80,0,3759,-602,-502,4106,76,-4600,833,77,33793,22542592,31643870,3759,0,0,0
2026-07-26 09:20:35,4992,79,0,3619,-181,-263,4106,75,-4561,880,79,33793,23120702,31643870,3619,0,0,0
2026-07-26 09:25:35,5095,78,0,3469,-802,-516,4094,74,-4534,839,80,33794,23515228,31643870,3479,0,0,0
2026-07-26 09:30:35,5239,77,0,3429,-476,-368,4085,73,-4499,881,78,33792,24035475,31643870,3419,0,0,0
2026-07-26 09:35:35,5355,76,0,3419,-591,-621,4061,73,-4467,994,80,33795,24501269,31643870,3409,0,0,0
2026-07-26 09:45:35,5602,75,0,3429,-357,-219,4064,71,-4396,1011,84,33797,25546167,31643870,3429,0,0,0
2026-07-26 09:50:35,5776,73,0,3429,-667,-707,4016,70,-4354,996,86,33796,26153686,31643870,3409,0,0,0
2026-07-26 10:00:35,5991,72,0,3350,-218,-163,4041,68,-4297,820,90,33797,26986299,31643870,3350,0,0,0
2026-07-26 10:05:35,6107,71,0,3329,-183,-174,4030,68,-4268,854,91,33799,27408167,31643870,3329,0,0,0
2026-07-26 10:10:35,6260,70,0,3339,-914,-897,3973,66,-4229,861,94,33798,27973880,31643870,3329,0,0,0
2026-07-26 10:15:35,6555,67,0,3539,-1094,-1074,3928,64,-4149,909,97,33803,29112328,31643870,3509,0,0,0
2026-07-26 10:20:35,6739,66,0,3500,-245,-229,3971,63,-4105,963,102,33805,29740426,31643870,3500,0,0,0
