Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   11123   190648     3067   187271        0    75958     5717  1687410    76959  1085451   242571    18611      214551    166435    54653    21885    26557   105048   545023      364        0        0 
   10041   191246     3091   187753        0    75938     5863     1207       36      725        0        0      214971    167119    54627    21885       26        0      241        0        0        0 
   10159   191133     3072   187778        0    75927     5977      618        0      201        1        0      215415    166568    54627    21885        0        0      377        0        0        0 
   11492   190716     3170   187159        0    75560     5653      957        0      348        2        0      216067    164978    54469    21857       39        0      623        0        0        0 
   10953   191278     3172   187543        0    75155     5581      686        0      169        6        0      216438    165555    54439    21853       30        0      346        0        0        0 
   11055   191252     3176   187477        0    75141     5635       63        1       54        1        0      216452    165453    54439    21853        0        0        0        0        0        0 
   11023   191278     3180   187468        0    75152     5632       70        0       37        0        0      216455    165471    54439    21853        0        0        0        0        0        0 
   10968   191329     3182   187470        0    75152     5653       64        0       55        0        0      216467    165514    54439    21853        0        0        0        0        0        0 
   11331   191168     3190   187260        0    75152     5213       76        0       58        0        0      216493    165125    54439    21853        0        0        9        0        0        0 
   11899   190738     3196   187149        0    75119     5179       67        0       33        0        0      216524    164559    54439    21853        0        0        8        0        0        0 
   11899   190548     3187   187079        0    75388     5214       62        0       30        0        2      216539    164275    54439    21853        0        0        0        0        0        0 
   13335   190618     3206   187007        0    73935     5144       75        0       27        2        0      216310    164521    54439    21853        0        0       17        0        0        0 
   13326   190645     3211   187009        0    73910     5204      108        0       39       12        0      216336    164529    54430    21853        9        0        3        0        0        0 
   13865   190289     3215   186838        0    73894     4963      165        1       88        2        0      216353    163989    54427    21853        3        0        2        0        0        0 
   13819   190348     3227   186791        0    73916     4732       98        0       59        3        0      216377    163989    54418    21853        9        0        4        0        0        0 
   13775   190383     3239   186788        0    73916     4908       87        0       68        1        0      216410    164000    54416    21853        0        0        9        0        0        0 
   13706   190428     3254   186807        0    73906     4981      170        0      117        0        0      216448    164041    54414    21853        2        0        1        0        0        0 
   13653   190460     3261   186821        0    73906     4829      107        0       91        0        0      216474    164068    54414    21853        0        0        6        0        0        0 
   13778   190296     3273   186837        0    73917     4803      125        0       93        0        0      216504    163902    54413    21853        1        0        2        0        0        0 
   13734   190306     3312   186832        0    73917     4800      171        0       71        0        0      216542    163908    54413    21853        0        0       11        0        0        0 
   13592   190359     3424   186831        0    73895     4803       90        0       77        0        0      216662    163952    54413    21853        0        0        6        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   13659   190331     3443   186842        0    73826     4825  1692550    76997  1087946   242601    18613      216695    163921    54412    21853    26676   105048   546689      364        0        0 
   13492   190494     3471   186821        0    73827     4795      257        0      216        1        0      216729    164057    54393    21849       19        0        5        0        0        0 
   13581   190353     3571   186793        0    73819     4752      153        0      130        0        0      216828    163889    54334    21837        0        0        2        0        0        0 
   13601   190354     3593   186754        0    73815     4640      119        0      106        0       14      216864    163837    54333    21837        0        0        0        0        0        0 
