Command,Exit description,Execution Time,Intended Timeout, MAX RSS (MB)
"/usr/bin/uptime",Never got executed,0.00,1.000000
"/usr/sbin/spindump -oslog -notarget 2 250 -noProcessingWhileSampling -noSymbolicate -file /private/var/mobile/Library/Logs/CrashReporter/DiagnosticLogs/sysdiagnose/IN_PROGRESS_sysdiagnose_2026.08.08_04-06-43+0300_iPhone-OS_iPhone_24A5390f.tmp/spindump/spindump-nosymbols.txt","exited with status 0",6.039097,30.000000,67.812500

Concurrent group with total timeout 15.000000 sec
"/bin/ps axwww -o user,uid,prsna,pid,ppid,flags,%cpu,%mem,pri,ni,vsz,rss,wchan,tt,stat,start,time,command","exited with status 0",1.888980,15.000000,2.187500
"/bin/ps axMwww -o ppid,flags,%mem,pri,ni,vsz,rss,wchan,start,time,command","exited with status 0",1.843538,15.000000,1.546875
"/usr/libexec/jetsam_priority -e -k","exited with status 0",2.224892,15.000000,6.546875
"/usr/libexec/jetsam_priority -e -k -c","exited with status 0",2.213836,15.000000,6.546875
"/usr/bin/vm_stat -c 25 0.2","exited with status 0",4.953168,15.000000,0.859375
"/usr/bin/taskinfo --threads --boosts","exited with status 0",1.054293,15.000000,9.546875


Concurrent group with total timeout 38.000000 sec
"/sbin/mount","exited with status 0",0.054541,38.000000,1.265625
"/bin/df -H","exited with status 0",0.049331,38.000000,0.968750
"/usr/bin/kbdebug","exited with status 0",0.079727,38.000000,4.296875
"/usr/bin/zprint -t -w","exited with status 0",0.077275,38.000000,3.500000

"/usr/libexec/smcDiagnose","exited with status 0",2.115307,15.000000,2.359375
"/usr/local/bin/powermetrics -i 1000 --sample-count 1 --show-all --show-initial-usage --handle-invalid-values",Never got executed,0.00,10.000000
"/usr/bin/ltop","exited with status 0",0.074304,10.000000,2.546875
"/usr/libexec/remotectl dumpstate","exited with status 0",0.027106,5.000000,1.765625
"/usr/sbin/kextstat",Never got executed,0.00,10.000000
"/usr/bin/find /private/var/mobile/Library/Logs/CrashReporter -ls",Never got executed,0.00,5.000000

Concurrent group with total timeout 20.000000 sec
"/usr/local/bin/imtool list",Never got executed,0.00,20.000000
"/usr/local/bin/idstool list",Never got executed,0.00,20.000000
"/usr/local/bin/imtool info",Never got executed,0.00,20.000000
"/usr/local/bin/idstool info",Never got executed,0.00,20.000000


Concurrent group with total timeout 10.000000 sec
"/bin/launchctl list",Never got executed,0.00,10.000000
"/bin/launchctl print system/",Never got executed,0.00,10.000000
"/bin/launchctl dumpstate",Never got executed,0.00,10.000000

"/usr/local/bin/spuctl --sysdiagnose",Never got executed,0.00,5.000000
"/usr/bin/cryptexctl dumpstate",Never got executed,0.00,2.000000
"/usr/libexec/swtransparency-sysdiagnose","exited with status 0",0.435275,3.000000,2.515625
"/usr/libexec/atcrtcomm /private/var/mobile/Library/Logs/CrashReporter/DiagnosticLogs/sysdiagnose/IN_PROGRESS_sysdiagnose_2026.08.08_04-06-43+0300_iPhone-OS_iPhone_24A5390f.tmp/atcrtcomm_sysdiagnose_temp.4eKUxz/atcrtcomm","exited with status 1",0.342528,5.000000,1.187500
"/System/Library/PrivateFrameworks/IOSurfaceAccelerator.framework/Resources/IOSADiagnose","exited with status 0",0.493342,5.000000,1.406250
"/System/Library/Frameworks/Accounts.framework/Support/acdiagnose","exited with status 0",0.333560,3.000000,1.484375
"/usr/sbin/otctl status --json","exited with status 0",1.307490,3.000000,6.312500
"/usr/bin/appprotectiondiagnose diagnostics","exited with status 0",0.456976,1.000000,2.687500
"/usr/bin/umtool sysdiagnose","exited with status 0",0.914055,5.000000,1.875000
"/usr/bin/modelmanagerdump","exited with status 0",0.578898,2.000000,3.453125
"/usr/libexec/corebrightnessdiag nightshift-internal","exited with status 0",0.902868,1.000000,3.437500
