                            elem         cur         max        cur         max         cur  alloc  alloc         frag      free             total 
zone name                   size        size        size      #elts       #elts       inuse   size  count         size      size            allocs 
---------------------------------------------------------------------------------------------------------------------------------------------------
vm.permanent                   1        144K        144K     147456      147456      140518    16K  16384           6K        0B              137K
vm.permanent.percpu            6        192K        192K      32768       32768       28264    96K  16384          26K        0B               27K
threads_ro                    56        176K        176K       3218        3218        2632    16K    292  C       32K        0B              585K
MAC.Labels                    32        208K        208K       6656        6656        6231    16K    512  C       13K        0B              497K
proc_ro                      104         48K         48K        472         472         419    16K    157  C        5K        0B              100K
cred                         144         80K         80K        568         568         471    16K    113  C       13K        0B              164K
cs_blob.zone                 256        176K        176K        704         704         650    16K     64  C       13K        0B              175K
VM.map.entries.ro             64         16K         16K        256         256         156    16K    256  C        6K        0B                9K
sandbox.sandboxes             96         48K         48K        512         512         410    16K    170  C        9K        0B               44K
sandbox.profiles             184        240K        240K       1335        1335        1321    16K     89  C        2K        0B              237K
sandbox.autobox.index         40         64K         64K       1638        1638        1528    16K    409  C        4K        0B               59K
sandbox.syscallmasks          72        464K        464K       6599        6599        6429    16K    227  C       11K        0B              470K
amfi.OSEntitlements          240        160K        160K        682         682         662    16K     68  C        4K        0B              164K
pmap                         160         80K         80K        512         512         410    16K    102  C       15K        0B              306K
maps                         288        128K        128K        455         455         418    32K    113  C       10K        0B              553K
VM.map.entries                64       4144K       4144K      66304       66304       65665    16K    256  C       39K        0B            27654K
VM.map.nodes                 256       1168K       1184K       4672        4736        4587    16K     64  C       21K        0B             2355K
VM.map.copies                 48        224K        224K       4778        4778        4347    16K    341  C       20K        0B             3135K
VM.guard.object.chunks        64        112K        112K       1792        1792        1651    16K    256  C        8K        0B             2019K
vm.pages.array                64      29968K      29968K     479488      479488      479401    16K    256 XC        5K        0B            29962K
ipc.ports                    144       5232K       5232K      37205       37205       35845    16K    113  C      191K        0B            56218K
ipc.port.sets                 56         32K         32K        585         585         519    16K    292  C        3K        0B               42K
ipc.kmsgs                    256        384K        384K       1536        1536        1071    16K     64  C      116K        0B           420899K
ipc.vouchers                  32         32K         32K       1024        1024         626    16K    512  C       12K        0B            20945K
proc_task                   3616       1504K       1504K        425         425         418    32K      9  C       27K        0B             3478K
threads                     1936       6032K       6032K       3190        3190        2632    16K      8  C     1055K        0B            20250K
turnstiles                    96       1104K       1104K      11776       11776       11505    16K    170  C       25K        0B            13664K
semaphores                    64         48K         48K        768         768         723    16K    256  C        2K        0B              113K
select_set                    32         16K         16K        512         512          28    16K    512  C       15K        0B                1K
fileproc                      32        128K        128K       4096        4096        4021    16K    512  C        2K        0B             7905K
mbuf.ref                      24         16K         16K        682         682         299    16K    682  C        8K        0B               34K
mbuf                         512        752K        768K       1504        1536         589    16K     32 XC      457K        0B            29068K
data_shared.mbuf.cluster$   2048       1616K       1616K        808         808          81    16K      8 XC      110K     1344K             2506K
data_shared.mbuf.cluster$   4096       1776K       1776K        444         444          71    16K      4 XC      132K     1360K              284K
data_shared.mbuf.cluster$  16384       2352K       2352K        147         147         147    16K      1 XC        0B        0B             2352K
mbuf.composite.2k           2584        204K          0K         81           0          16     0K      0  C      164K        0B             6172K
mbuf.composite.4k           4632        321K          0K         71           0          22     0K      0  C      221K        0B             1203K
mbuf.composite.16k         16920       2428K          0K        147           0           4     0K      0  C     2362K        0B           216390K
vm.objects                   256       7728K       7728K      30912       30912       28747    16K     64  C      493K       48K            73018K
zcc_magazine_zone             96        624K        624K       6656        6656        6471    16K    170  C       17K        0B              856K
vm.pages                      64        240K        320K       3840        5120        3484    16K    256  C        6K       16K            14778K
data.kalloc.16                16       1536K       1536K      98304       98304       97182    16K   1024  C       17K        0B            43326K
data.kalloc.32                32       1072K       1072K      34304       34304       27917    16K    512  C      199K        0B            73077K
data.kalloc.48                48       1072K       1072K      22869       22869       19836    16K    341  C      142K        0B            66475K
data.kalloc.64                64        576K        592K       9216        9472        7961    16K    256  C       78K        0B            42348K
data.kalloc.96                96       1008K       1008K      10752       10752        7144    16K    170  C      290K       48K            33721K
data.kalloc.128              128        672K        672K       5376        5376        4645    16K    128  C       91K        0B            11511K
data.kalloc.192              192        400K        416K       2133        2218         946    16K     85  C      222K        0B            27854K
data.kalloc.256              256        224K        240K        896         960         518    16K     64  C       94K        0B            43792K
data.kalloc.384              384        448K        448K       1194        1194        1084    32K     85  C       41K        0B            44382K
